Number_conceptpair	Number_uniqueconcept	Source_concept	Target_concept	Languages_Polysemy	Languages_overtmarking	Hilfsspalte
1	1	(molar)tooth	jaw	2	3	1
1	38	jaw	/			2
2	3	animal	bird	8	8	3
2	9	bird	/			4
3	4	ashes	embers	6	2	5
3	23	embers	/			6
4	7	bed	nest	2	2	7
4	50	nest	/			8
5	8	belly/stomach	womb	11	6	9
5	69	womb	/			10
6	8	belly/stomach	navel	2	3	11
6	49	navel	/			12
7	9	bird	airplane	3	3	13
7	2	airplane	/			14
8	10	bone	horn	2	2	15
8	36	horn	/			16
9	12	breast	milk	43	30	17
9	44	milk	/			18
10	15	car	train	3	3	19
10	66	train	/			20
11	16	cheek	buttocks	2	3	21
11	14	buttocks	/			22
12	18	cloud	fog	24	7	23
12	29	fog	/			24
13	20	day	dawn	3	20	25
13	19	dawn	/			26
14	20	day	noon	2	35	27
14	52	noon	/			28
15	22	egg	testicle	20	9	29
15	64	testicle	/			30
16	27	flower/blossom	bud	3	4	31
16	13	bud	/			32
17	28	foam	lungs	3	2	33
17	43	lungs	/			34
18	33	grass	straw/hay	11	10	35
18	61	straw/hay	/			36
19	34	heart	belly/stomach	7	2	37
19	8	belly/stomach	/			38
20	34	heart	kidney	3	3	39
20	39	kidney	/			40
21	34	heart	lungs	2	3	41
21	43	lungs	/			42
22	35	honey	wax	2	4	43
22	68	wax	/			44
23	37	house	nest	7	14	45
23	50	nest	/			46
24	40	lake	swamp	8	4	47
24	63	swamp	/			48
25	42	liver	lungs	4	9	49
25	43	lungs	/			50
26	44	milk	nipple	5	4	51
26	51	nipple	/			52
27	46	mirror	glasses	2	9	53
27	32	glasses	/			54
28	48	mouth	lip	16	31	55
28	41	lip	/			56
29	48	mouth	cheek	2	3	57
29	16	cheek	/			58
30	48	mouth	beak	18	11	59
30	6	beak	/			60
31	48	mouth	estuary	5	5	61
31	24	estuary	/			62
32	53	river/stream	flood	2	2	63
32	26	flood	/			64
33	54	road/street/way	Milky Way	2	15	65
33	45	Milky Way	/			66
34	55	saliva/spittle	foam	8	4	67
34	28	foam	/			68
35	56	seed	testicle	6	6	69
35	64	testicle	/			70
36	57	shadow	mirror	3	5	71
36	46	mirror	/			72
37	58	skin	bark	45	26	73
37	5	bark	/			74
38	59	smoke	fog/mist	11	3	75
38	30	fog/mist	/			76
39	59	smoke	dust	8	4	77
39	21	dust	/			78
40	59	smoke	cloud	7	2	79
40	18	cloud	/			80
41	60	steam	fog/mist	9	2	81
41	30	fog/mist	/			82
42	62	sun	moon	17	3	83
42	47	moon	/			84
43	62	sun	noon	2	24	85
43	52	noon	/			86
44	62	sun	clock	15	16	87
44	17	clock	/			88
45	65	tongue	flame	2	24	89
45	25	flame	/			90
46	67	tree	branch	6	17	91
46	11	branch	/			92
47	67	tree	forest	4	6	93
47	31	forest	/			94
