ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOURCE_CONCEPTS	TARGET_CONCEPTS
Winter-2022-100-1	1	cloud	1489	CLOUD	[{"name": "fog/mist", "id": "Winter-2022-100-2", "polysemy": 24, "overt_marking": 0}, {"name": "smoke", "id": "Winter-2022-100-7", "polysemy": 7, "overt_marking": 2}, {"name": "day", "id": "Winter-2022-100-19", "polysemy": 2, "overt_marking": 0}, {"name": "sky", "id": "Winter-2022-100-83", "polysemy": 8, "overt_marking": 2}, {"name": "rain", "id": "Winter-2022-100-82", "polysemy": 4, "overt_marking": 2}]	[{"name": "fog/mist", "id": "Winter-2022-100-2", "polysemy": 24, "overt_marking": 7}, {"name": "smoke", "id": "Winter-2022-100-7", "polysemy": 7, "overt_marking": 0}, {"name": "day", "id": "Winter-2022-100-19", "polysemy": 2, "overt_marking": 3}, {"name": "sky", "id": "Winter-2022-100-83", "polysemy": 8, "overt_marking": 11}, {"name": "rain", "id": "Winter-2022-100-82", "polysemy": 4, "overt_marking": 2}]
Winter-2022-100-2	2	fog/mist	249	FOG	[{"name": "cloud", "id": "Winter-2022-100-1", "polysemy": 24, "overt_marking": 7}, {"name": "smoke", "id": "Winter-2022-100-7", "polysemy": 10, "overt_marking": 3}, {"name": "steam", "id": "Winter-2022-100-8", "polysemy": 9, "overt_marking": 2}, {"name": "dew", "id": "Winter-2022-100-72", "polysemy": 9, "overt_marking": 0}]	[{"name": "cloud", "id": "Winter-2022-100-1", "polysemy": 24, "overt_marking": 0}, {"name": "smoke", "id": "Winter-2022-100-7", "polysemy": 10, "overt_marking": 0}, {"name": "steam", "id": "Winter-2022-100-8", "polysemy": 9, "overt_marking": 0}, {"name": "dew", "id": "Winter-2022-100-72", "polysemy": 9, "overt_marking": 2}]
Winter-2022-100-3	3	sun	1343	SUN	[{"name": "moon", "id": "Winter-2022-100-4", "polysemy": 17, "overt_marking": 0}, {"name": "noon", "id": "Winter-2022-100-23", "polysemy": 2, "overt_marking": 0}, {"name": "clock", "id": "Winter-2022-100-65", "polysemy": 15, "overt_marking": 0}]	[{"name": "moon", "id": "Winter-2022-100-4", "polysemy": 17, "overt_marking": 3}, {"name": "noon", "id": "Winter-2022-100-23", "polysemy": 2, "overt_marking": 24}, {"name": "clock", "id": "Winter-2022-100-65", "polysemy": 15, "overt_marking": 16}]
Winter-2022-100-4	4	moon	1313	MOON	[{"name": "sun", "id": "Winter-2022-100-3", "polysemy": 17, "overt_marking": 3}, {"name": "star", "id": "Winter-2022-100-78", "polysemy": 2, "overt_marking": 5}]	[{"name": "sun", "id": "Winter-2022-100-3", "polysemy": 17, "overt_marking": 0}, {"name": "star", "id": "Winter-2022-100-78", "polysemy": 2, "overt_marking": 0}]
Winter-2022-100-5	5	grass	606	GRASS	[{"name": "straw/hay", "id": "Winter-2022-100-6", "polysemy": 11, "overt_marking": 0}]	[{"name": "straw/hay", "id": "Winter-2022-100-6", "polysemy": 11, "overt_marking": 10}]
Winter-2022-100-6	6	straw/hay	342	HAY	[{"name": "grass", "id": "Winter-2022-100-5", "polysemy": 11, "overt_marking": 10}]	[{"name": "grass", "id": "Winter-2022-100-5", "polysemy": 11, "overt_marking": 0}]
Winter-2022-100-7	7	smoke	778	SMOKE (EXHAUST)	[{"name": "fog/mist", "id": "Winter-2022-100-2", "polysemy": 10, "overt_marking": 0}, {"name": "dust", "id": "Winter-2022-100-13", "polysemy": 8, "overt_marking": 0}, {"name": "cloud", "id": "Winter-2022-100-1", "polysemy": 7, "overt_marking": 0}, {"name": "steam", "id": "Winter-2022-100-8", "polysemy": 31, "overt_marking": 3}]	[{"name": "fog/mist", "id": "Winter-2022-100-2", "polysemy": 10, "overt_marking": 3}, {"name": "dust", "id": "Winter-2022-100-13", "polysemy": 8, "overt_marking": 4}, {"name": "cloud", "id": "Winter-2022-100-1", "polysemy": 7, "overt_marking": 2}, {"name": "steam", "id": "Winter-2022-100-8", "polysemy": 31, "overt_marking": 3}]
Winter-2022-100-8	8	steam	1193	STEAM	[{"name": "fog/mist", "id": "Winter-2022-100-2", "polysemy": 9, "overt_marking": 0}, {"name": "smoke", "id": "Winter-2022-100-7", "polysemy": 31, "overt_marking": 3}]	[{"name": "fog/mist", "id": "Winter-2022-100-2", "polysemy": 9, "overt_marking": 2}, {"name": "smoke", "id": "Winter-2022-100-7", "polysemy": 31, "overt_marking": 3}]
Winter-2022-100-9	9	animal	619	ANIMAL	[{"name": "bird", "id": "Winter-2022-100-10", "polysemy": 8, "overt_marking": 0}]	[{"name": "bird", "id": "Winter-2022-100-10", "polysemy": 8, "overt_marking": 8}]
Winter-2022-100-10	10	bird	937	BIRD	[{"name": "animal", "id": "Winter-2022-100-9", "polysemy": 8, "overt_marking": 8}, {"name": "airplane", "id": "Winter-2022-100-68", "polysemy": 3, "overt_marking": 0}]	[{"name": "animal", "id": "Winter-2022-100-9", "polysemy": 8, "overt_marking": 0}, {"name": "airplane", "id": "Winter-2022-100-68", "polysemy": 3, "overt_marking": 3}]
