Source	Target	Polysemy	OvertMarking
cloud	fog/mist	24	7
cloud	smoke	7	0
cloud	day	2	3
cloud	sky	8	11
cloud	rain	4	2
fog/mist	cloud	24	0
fog/mist	smoke	10	0
fog/mist	steam	9	0
fog/mist	dew	9	2
sun	moon	17	3
sun	noon	2	24
sun	clock	15	16
moon	sun	17	0
moon	star	2	0
grass	straw/hay	11	10
straw/hay	grass	11	0
smoke	fog/mist	10	3
smoke	dust	8	4
smoke	cloud	7	2
smoke	steam	31	3
steam	fog/mist	9	2
steam	smoke	31	3
animal	bird	8	8
bird	animal	8	0
bird	airplane	3	3
lake	swamp	8	4
swamp	lake	8	0
swamp	puddle	7	2
dust	smoke	8	0
dust	soil/earth	15	15
dust	ashes	22	2
tree	branch	6	17
tree	forest	4	6
branch	tree	6	0
ashes	embers	6	2
ashes	dust	22	6
embers	ashes	6	0
embers	flame	6	2
embers	coal	23	10
forest	tree	4	0
day	dawn	3	20
day	noon	3	20
day	clock	2	0
day	cloud	2	0
dawn	day	3	0
flower/blossom	bud	3	4
bud	flower/blossom	3	0
bud	seed	3	2
noon	day	2	0
noon	sun	2	0
honey	wax	2	4
wax	honey	2	0
bone	horn	2	2
bone	needle	2	0
horn	bone	2	0
river/stream	flood	2	2
river/stream	milky way	2	0
river/stream	spring	12	0
river/stream	river bed	5	0
flood	river/stream	2	0
breast	milk	43	30
milk	breast	43	0
milk	nipple	5	4
mouth	lip	16	31
mouth	cheek	2	3
mouth	beak	18	11
mouth	estuary	5	5
lip	mouth	16	0
belly/stomach	womb	11	6
belly/stomach	heart	7	0
belly/stomach	navel	2	3
womb	belly/stomach	11	0
heart	belly/stomach	7	2
heart	kidney	3	3
heart	lungs	2	3
nipple	milk	5	0
liver	lungs	4	9
lungs	liver	4	0
lungs	heart	2	0
lungs	foam	3	0
car	train	3	3
train	car	3	0
kidney	heart	3	0
mirror	glasses	2	9
mirror	shadow	3	0
glasses	mirror	2	0
(molar) tooth	jaw	2	3
jaw	(molar) tooth	2	0
jaw	chin	44	5
navel	belly/stomach	2	0
cheek	buttocks	2	3
cheek	mouth	2	0
buttocks	cheek	2	0
skin	bark	45	26
bark	skin	45	0
beak	mouth	18	0
beak	tooth	9	2
saliva/spittle	foam	8	4
foam	saliva/spittle	8	0
foam	lungs	3	2
house	nest	7	14
nest	house	7	0
nest	bed	2	0
estuary	mouth	5	0
tongue	flame	2	24
flame	tongue	2	0
flame	embers	6	0
road/street/way	milky way	2	15
milky way	road/street/way	2	0
milky way	river/stream	2	2
bed	nest	2	2
egg	testicle	20	9
testicle	egg	20	0
testicle	seed	6	0
testicle	ball	4	2
clock	sun	15	0
clock	day	2	8
seed	testicle	6	6
seed	bud	3	0
shadow	mirror	3	5
airplane	bird	3	0
ball	testicle	4	0
needle	bone	2	2
tooth	beak	9	0
dew	fog/mist	9	0
soil/earth	dust	15	0
pen	feather	3	3
feather	pen	3	0
feather	beard	2	0
beard	feather	2	10
meteoroid	star	3	28
star	meteoroid	3	0
star	moon	2	5
valley	mountain	2	3
mountain	valley	2	0
puddle	swamp	7	0
rain	sky	3	2
rain	cloud	4	2
sky	rain	3	0
sky	cloud	8	2
spring	river/stream	12	2
river bed	river/stream	5	13
brain	pus	2	4
pus	brain	2	0
eyelash	eyebrow	26	3
eyelash	eyelid	9	5
eyebrow	eyelash	26	0
eyelid	eyelash	9	0
finger	fingernail	3	7
fingernail	finger	3	0
pupil	eyeball	6	3
eyeball	pupil	6	0
coal	embers	23	2
chin	jaw	44	3
stomach	guts	13	2
guts	stomach	13	6
tendon	vein	51	3
vein	tendon	51	2
