ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOURCES	TARGETS
Winter-2022-102-1	cloud	1489	CLOUD	[{"name": "smoke", "id": "Winter-2022-102-1", "overt_marking": 2, "polysemy": 7}, {"name": "sky", "id": "Winter-2022-102-85", "overt_marking": 2, "polysemy": 8}, {"name": "rain", "id": "Winter-2022-102-84", "overt_marking": 2, "polysemy": 4}]	[{"name": "fog/mist", "id": "Winter-2022-102-2", "overt_marking": 7, "polysemy": 24}, {"name": "day", "id": "Winter-2022-102-19", "overt_marking": 3, "polysemy": 2}, {"name": "sky", "id": "Winter-2022-102-85", "overt_marking": 11, "polysemy": 8}, {"name": "rain", "id": "Winter-2022-102-84", "overt_marking": 2, "polysemy": 4}]
Winter-2022-102-10	bird	937	BIRD	[{"name": "animal", "id": "Winter-2022-102-10", "overt_marking": 8, "polysemy": 8}]	[{"name": "airplane", "id": "Winter-2022-102-68", "overt_marking": 3, "polysemy": 3}]
Winter-2022-102-100	guts	1334	GUTS	[{"name": "stomach", "id": "Winter-2022-102-100", "overt_marking": 2, "polysemy": 13}]	[{"name": "stomach", "id": "Winter-2022-102-100", "overt_marking": 6, "polysemy": 13}]
Winter-2022-102-101	tendon	1137	TENDON	[{"name": "vein", "id": "Winter-2022-102-102", "overt_marking": 2, "polysemy": 51}]	[{"name": "vein", "id": "Winter-2022-102-102", "overt_marking": 3, "polysemy": 51}]
Winter-2022-102-102	vein	1924	VEIN	[{"name": "tendon", "id": "Winter-2022-102-102", "overt_marking": 3, "polysemy": 51}]	[{"name": "tendon", "id": "Winter-2022-102-102", "overt_marking": 2, "polysemy": 51}]
Winter-2022-102-11	lake	624	LAKE	[]	[{"name": "swamp", "id": "Winter-2022-102-12", "overt_marking": 4, "polysemy": 8}]
Winter-2022-102-12	swamp	1145	SWAMP	[{"name": "lake", "id": "Winter-2022-102-12", "overt_marking": 4, "polysemy": 8}]	[{"name": "puddle", "id": "Winter-2022-102-83", "overt_marking": 2, "polysemy": 7}]
Winter-2022-102-13	dust	2	DUST	[{"name": "smoke", "id": "Winter-2022-102-13", "overt_marking": 4, "polysemy": 8}, {"name": "ashes", "id": "Winter-2022-102-13", "overt_marking": 6, "polysemy": 22}]	[{"name": "soil/earth", "id": "Winter-2022-102-74", "overt_marking": 15, "polysemy": 15}, {"name": "ashes", "id": "Winter-2022-102-13", "overt_marking": 2, "polysemy": 22}]
Winter-2022-102-14	tree	906	TREE	[]	[{"name": "branch", "id": "Winter-2022-102-15", "overt_marking": 17, "polysemy": 6}, {"name": "forest", "id": "Winter-2022-102-18", "overt_marking": 6, "polysemy": 4}]
Winter-2022-102-15	branch	1531	BRANCH	[{"name": "tree", "id": "Winter-2022-102-15", "overt_marking": 17, "polysemy": 6}]	[]
Winter-2022-102-16	ashes	646	ASH	[{"name": "dust", "id": "Winter-2022-102-13", "overt_marking": 2, "polysemy": 22}]	[{"name": "embers", "id": "Winter-2022-102-17", "overt_marking": 2, "polysemy": 6}, {"name": "dust", "id": "Winter-2022-102-13", "overt_marking": 6, "polysemy": 22}]
Winter-2022-102-17	embers	67	EMBERS	[{"name": "ashes", "id": "Winter-2022-102-17", "overt_marking": 2, "polysemy": 6}, {"name": "coal", "id": "Winter-2022-102-17", "overt_marking": 2, "polysemy": 23}]	[{"name": "flame", "id": "Winter-2022-102-59", "overt_marking": 2, "polysemy": 6}, {"name": "coal", "id": "Winter-2022-102-17", "overt_marking": 10, "polysemy": 23}]
Winter-2022-102-18	forest	420	FOREST	[{"name": "tree", "id": "Winter-2022-102-18", "overt_marking": 6, "polysemy": 4}]	[]
Winter-2022-102-19	day	1225	DAY (NOT NIGHT)	[{"name": "clock", "id": "Winter-2022-102-19", "overt_marking": 8, "polysemy": 2}, {"name": "cloud", "id": "Winter-2022-102-19", "overt_marking": 3, "polysemy": 2}]	[{"name": "dawn", "id": "Winter-2022-102-20", "overt_marking": 20, "polysemy": 3}, {"name": "noon", "id": "Winter-2022-102-23", "overt_marking": 20, "polysemy": 3}]
Winter-2022-102-2	fog/mist	249	FOG	[{"name": "cloud", "id": "Winter-2022-102-2", "overt_marking": 7, "polysemy": 24}, {"name": "smoke", "id": "Winter-2022-102-2", "overt_marking": 3, "polysemy": 10}, {"name": "steam", "id": "Winter-2022-102-2", "overt_marking": 2, "polysemy": 9}]	[]
Winter-2022-102-20	dawn	729	DAWN	[{"name": "day", "id": "Winter-2022-102-20", "overt_marking": 20, "polysemy": 3}]	[]
Winter-2022-102-21	flower/blossom	239	FLOWER	[]	[{"name": "bud", "id": "Winter-2022-102-22", "overt_marking": 4, "polysemy": 3}]
Winter-2022-102-22	bud	1684	BUD	[{"name": "flower/blossom", "id": "Winter-2022-102-22", "overt_marking": 4, "polysemy": 3}]	[{"name": "seed", "id": "Winter-2022-102-66", "overt_marking": 2, "polysemy": 3}]
Winter-2022-102-23	noon	12	MIDDAY	[{"name": "day", "id": "Winter-2022-102-23", "overt_marking": 24, "polysemy": 2}, {"name": "sun", "id": "Winter-2022-102-23", "overt_marking": 24, "polysemy": 2}]	[]
Winter-2022-102-24	honey	942	HONEY	[]	[{"name": "wax", "id": "Winter-2022-102-25", "overt_marking": 4, "polysemy": 2}]
