SOURCE	TARGET	Type	Language	Word	Source_Gloss	Target_Gloss	Direction
to calculate, count	to take into account	Polysemy	Sanskrit	gaṇ	to count , number , enumerate , sum up , add up , reckon	to take into account	→
to calculate, count	to take into account	Derivation	Lezgian		count	to neglect, not to take in consideration	
to calculate, count	to take into account	Derivation	Russian		to count	to take into account	
to calculate, count	to take into account	Polysemy	Russian	sčitat&#39;sja	to consider, to regard	to take into account	—
to calculate, count	to take into account	Polysemy	French	compter	to calculate, count	to take into account	—
to calculate, count	to take into account	Polysemy	English	count	to calculate, count	to take into account	
to calculate, count	to take into account	Polysemy	Turkish	say-	to count, to calculate, to list	to take into account, to lay emphasis on smth	
to calculate, count	to take into account	Polysemy	Norwegian	regne	to calculate, count	to take into account	→
to calculate, count	to take into account	Polysemy	Danish	regne	to calculate, count	to take into account	→
to calculate, count	to take into account	Polysemy	Hungarian	számít	to calculate, count	to take into account	→
to calculate, count	to take into account	Polysemy	Hungarian	számol	to calculate, count	to take into account	→
to calculate, count	to respect	Polysemy	Khmer	rɔap	count	esteem, respect	
to calculate, count	to respect	Polysemy	Geez	ḥasaba	compute, count	think, esteem	→
to calculate, count	to respect	Polysemy	Old East Slavic	чисти	to count	to esteem, to respect	—
to calculate, count	to respect	Polysemy	Turkish	say-	to count, to calculate, to list	to respect, to honour	
to calculate, count	to respect	Polysemy	Ingush	karha	to count, to reckon	to respect, to honour	
to calculate, count	to respect	Polysemy	Telugu	ennu	count	think, esteem	
to calculate, count	to respect	Polysemy	Maya	xok	count	respect	
to calculate, count	to respect	Polysemy	Nahuatl	poa	count	respect, esteem	
to calculate, count	to respect	Polysemy			to calculate	to estimate	—
to calculate, count	to respect	Derivation	Russian		to calculate, count	to respect	—
to calculate, count	to tell	Derivation	Zulu		count, calculate, take into account	cause to count, recount the details of one`s personal affairs	→
to calculate, count	to tell	Derivation	Hungarian		count, render/give an account of something	give an account of something, relate something	→
to calculate, count	to tell	Derivation	Modern Hebrew		number	narrator	—
to calculate, count	to tell	Polysemy	Nahuatl	pōhua	count something	read something, recount, relate, or give account of something	—
to calculate, count	to tell	Borrowing			count	speech	
to calculate, count	to tell	Polysemy	Portuguese	contar	to reckon	to tell, to narrate	
to calculate, count	to tell	Polysemy	Ancient Hebrew	sippēr	to count out, count over again	to report, tell	—
to calculate, count	to tell	Derivation	German		to count	to tell, to narrate	
to calculate, count	to tell	Cognates	French		to count	to tell, to narrate	—
to calculate, count	to tell	Polysemy	Old Uighur	са-	to count	to speak	
to calculate, count	to tell	Cognates			to speak	to count	—
to calculate, count	to tell	Polysemy	Malayalam	ennuka	count, number	esteem, relate	—
to calculate, count	to tell	Polysemy	Sumerian	šit, šid	calculate, count	tell, recite	—
to calculate, count	to tell	Polysemy	Saamic	lǫkkâ-	count	tell, say	—
to calculate, count	to read	Polysemy	Kilivila	-kalava-	count	read	—
to calculate, count	to read	Polysemy	Finnish	luke-	calculate, count	read	—
to calculate, count	to read	Polysemy	Kiribati	wareka	count, calculate	read	—
to calculate, count	to read	Polysemy	Kwamera	-awsini	count	read	—
