Number	Source	Source_ID	Source_Con	Target	Target_ID	Target_Con	Polysemies	OvertMarkings
1	cloud	1489		day	1225	4.31	2	3
1	cloud	1489		fog/mist	249	4.66	24	7
1	cloud	1489		rain	658		4	2
1	cloud	1489		sky	1732	4.45	8	11
1	cloud	1489		smoke	778		7	0
10	bird	937	5.00	airplane	1597	4.96	3	3
10	bird	937	5.00	animal	619	4.61	8	0
100	vein	1924	4.63	tendon	1137	4.47	51	2
11	lake	624	4.88	swamp	1145	4.96	8	4
12	swamp	1145	4.96	lake	624	4.88	8	0
12	swamp	1145	4.96	puddle	2290	4.67	7	2
13	dust	2	4.40	ashes	646	4.92	22	2
13	dust	2	4.40	smoke	778		8	0
13	dust	2	4.40	soil/earth	1228	4.87	15	15
14	tree	906	5.00	branch	1531	4.64	6	17
14	tree	906	5.00	forest	420	4.76	4	6
15	branch	1531	4.64	tree	906	5.00	6	0
16	ashes	646	4.92	dust	2	4.40	22	6
16	ashes	646	4.92	embers	67		6	2
17	embers	67		ashes	646	4.92	6	0
17	embers	67		coal	2658	4.66	23	10
17	embers	67		flame	889	4.67	6	2
18	forest	420	4.76	tree	906	5.00	4	0
19	day	1225	4.31	clock	1323	5.00	2	0
19	day	1225	4.31	cloud	1489		2	0
19	day	1225	4.31	dawn	729	4.46	3	20
19	day	1225	4.31	noon	12	2.67	3	20
2	fog/mist	249	4.66	cloud	1489		24	0
2	fog/mist	249	4.66	dew	1977	4.38	9	2
2	fog/mist	249	4.66	smoke	778		10	0
2	fog/mist	249	4.66	steam	1193	4.50	9	0
20	dawn	729	4.46	day	1225	4.31	3	0
21	flower/blossom	239	5.00	bud	1684	4.48	3	4
22	bud	1684	4.48	flower/blossom	239	5.00	3	0
22	bud	1684	4.48	seed	714	4.71	3	2
23	noon	12	2.67	day	1225	4.31	2	0
23	noon	12	2.67	sun	1343	4.83	2	0
24	honey	942	4.88	wax	1931	4.88	2	4
25	wax	1931	4.88	honey	942	4.88	2	0
26	bone	1394	4.90	horn	1393		2	2
26	bone	1394	4.90	needle	1382	4.93	2	0
27	horn	1393		bone	1394	4.90	2	0
28	river/stream	3311	4.89	flood	613	4.62	2	2
28	river/stream	3311	4.89	milky way	2289	4.52	2	0
28	river/stream	3311	4.89	river bed	993		5	0
28	river/stream	3311	4.89	spring	1537		12	0
29	flood	613	4.62	river/stream	3311	4.89	2	0
3	sun	1343	4.83	clock	1323	5.00	15	16
3	sun	1343	4.83	moon	1313	4.90	17	3
3	sun	1343	4.83	noon	12	2.67	2	24
30	breast	1402	5.00	milk	635	4.92	43	30
31	milk	635	4.92	breast	1402	5.00	43	0
31	milk	635	4.92	nipple	796	4.83	5	4
32	mouth	674	4.74	beak	73	4.96	18	11
32	mouth	674	4.74	cheek	1730	4.83	2	3
32	mouth	674	4.74	estuary	2286	4.17	5	5
32	mouth	674	4.74	lip	478	4.96	16	31
33	lip	478	4.96	mouth	674	4.74	16	0
