Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	BARK	SKIN	-1	0	6	19	1	1
2	CLOUD	FOG	1	0	11	3	1	1
3	CLOUD	SMOKE (EXHAUST)	-1	-1	3	4	0	1
4	FLAME	TONGUE	-1	-1	0	9	0	1
5	FOG	SMOKE (EXHAUST)	-1	0	2	9	1	1
6	FOREST	TREE	-1	0	0	13	1	1
7	MILK	BREAST	-1	-1	0	12	0	1
8	NEST	HOUSE	-1	-1	0	9	0	1
9	SEED	TESTICLES	1	1	8	0	1	0
10	JAW	TOOTH	-1	0	0	6	1	1
11	LIP	MOUTH	-1	-1	0	23	0	1
12	LIVER	LUNG	1	-1	4	0	0	1
13	DAWN	DAY (NOT NIGHT)	-1	-1	0	11	0	1
14	DAY (NOT NIGHT)	MIDDAY	1	1	22	0	1	0
