Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	LIVER	LUNG	1	1	4	0	8	3
2	NOSE	NOSTRIL	1	1	37	0	2	0
3	FOREST	HUNT	1	1	7	0	2	0
4	SUN	DAY (NOT NIGHT)	-1	-1	6	8	5	24
5	SUN	SUNDAY	1	1	9	0	4	0
6	MOON	MONTH	0	1	5	5	6	0
7	HUSBAND	MARRY	1	-1	12	3	1	2
8	FATHER	PARENTS	1	1	21	0	6	0
9	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	3	0
10	FATHER	ANCESTORS	1	1	8	0	5	0
11	ANIMAL	FUR	1	-1	5	0	0	2
12	SNAKE	FRESHWATER EEL	1	1	7	0	3	0
13	FROG	TURTLE	1	1	4	0	4	1
14	BLOOD	RED	1	1	8	0	4	2
15	EYE	SUN	1	1	4	0	2	0
16	SHOULDER	SHOULDERBLADE	1	1	17	0	3	0
17	HEART	BRAVE	1	1	6	0	4	0
18	SLEEP	BED	1	1	10	0	2	0
19	PREGNANT	HEAVY	-1	-1	0	4	0	3
20	FEVER	HOT	-1	-1	3	9	0	2
21	BRUISE	BLUE	-1	-1	0	5	0	2
22	POTATO	SWEET POTATO	-1	-1	4	6	0	4
23	HOUSE	HUSBAND	1	1	5	0	2	0
24	DOOR	WINDOW	1	1	10	0	2	0
25	SELL	GIVE	-1	-1	0	4	0	2
26	SILVER	MONEY	-1	-1	3	7	2	6
27	SAIL	SAILCLOTH	-1	-1	2	5	0	3
28	JUMP	DANCE	1	1	5	0	3	0
29	SHIP	SAIL	1	1	8	0	3	0
30	OAR	ROW	-1	1	5	6	2	0
31	BIG	THUMB	1	1	17	0	4	0
32	DAY (NOT NIGHT)	TODAY	1	1	23	0	3	0
33	MORNING	TOMORROW	-1	1	4	5	5	2
34	HOUR	CLOCK	-1	1	5	6	2	0
35	WHITE	SILVER	1	1	7	0	4	0
36	GOOD	BEAUTIFUL	1	1	20	3	2	0
