Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	LIVER	LUNG	1	1	4	0	3	0
4	CLOUD	SKY	-1	1	2	14	2	1
5	LAND	FLOOR	1	1	6	4	2	0
6	LAND	BOTTOM	1	1	4	0	2	0
7	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
8	NOSE	CAPE	1	1	5	0	4	0
9	NOSE	NOSTRIL	1	1	37	0	4	0
10	NOSE	BEAK	1	1	4	0	4	0
11	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
12	SKY	WEATHER	1	1	5	2	2	0
13	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
14	SUN	SUNDAY	1	1	9	0	3	0
15	MOON	MONTH	0	1	5	5	71	0
16	RAINBOW	BOW	-1	-1	0	5	0	3
17	SHADE	GHOST	1	1	4	2	2	0
18	WEATHER	TIME	-1	-1	0	4	0	3
19	GLASS	MIRROR	1	1	4	2	3	2
20	FIRE	HELL	1	1	15	0	2	0
21	WOMAN	COW	1	-1	8	0	0	3
22	WOMAN	WIFE	1	1	10	9	5	3
23	WIFE	OLD WOMAN	1	-1	10	0	0	4
24	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
25	HUSBAND	OLD MAN	1	-1	8	2	0	15
26	HUSBAND	MARRY	1	-1	12	3	0	3
27	MARRY	TAKE	-1	-1	0	8	0	2
28	FATHER	PARENTS	1	1	21	0	3	0
29	FATHER	OLD MAN	1	-1	8	0	0	4
30	FATHER	GOD	1	1	6	0	4	0
31	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
32	FATHER	ANCESTORS	1	1	8	0	8	0
33	MOTHER	OLD WOMAN	1	1	6	0	2	0
34	GRANDFATHER	OLD MAN	1	1	4	3	4	0
35	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
36	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
37	FAMILY	HOUSE	-1	-1	0	12	0	3
38	FIN	WING	-1	-1	5	12	0	4
39	BACK	BEHIND	1	1	12	2	2	0
40	HEAD	MIND	1	1	6	0	4	0
41	HEAD	ROOF	1	1	5	0	2	0
42	HEART	BRAVE	1	1	6	0	2	0
43	HEART	MIND	1	1	4	3	4	0
44	INTESTINES	SAUSAGE	1	1	6	3	3	0
45	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
46	PREGNANT	HEAVY	-1	-1	0	4	0	6
47	SEEM	SEE	-1	-1	0	4	0	2
48	FEVER	HOT	-1	-1	3	9	0	3
49	BRUISE	BLUE	-1	-1	0	5	0	3
50	UNRIPE	GREEN	1	-1	4	3	0	6
51	POTATO	SWEET POTATO	-1	-1	4	6	0	2
52	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
53	SILVER	MONEY	-1	1	3	7	17	6
54	THROW	SHOOT	1	1	4	0	6	0
55	JUMP	DANCE	1	1	5	0	4	0
56	LEAD (GUIDE)	RULE	1	1	4	0	3	0
57	FIND	SEE	-1	-1	0	6	0	5
58	AFTER	BEHIND	0	-1	9	9	0	2
59	PUT	BURY	1	1	4	0	2	0
60	BIG	THICK	1	-1	4	0	1	2
61	SMALL	YOUNG	1	1	4	2	3	0
62	LONG	FOR A LONG TIME	1	1	10	0	2	0
63	STRAIGHT	CORRECT (RIGHT)	1	1	4	3	5	0
64	EMPTY	NAKED	1	-1	5	0	0	2
65	EARLY	MORNING	-1	1	8	10	2	1
66	MORNING	TOMORROW	-1	1	4	5	4	0
67	YEAR	SUMMER	1	-1	5	0	1	3
68	HOUR	CLOCK	-1	1	5	6	4	0
69	WEEK	SUNDAY	1	-1	11	2	0	6
70	LOVE	WANT	-1	1	3	5	3	1
71	GOOD	BEAUTIFUL	1	-1	20	3	0	4
72	READ	SING	1	-1	4	0	0	4
73	READ	SPEAK	-1	1	0	10	2	0
74	SPEAK	PROMISE	1	1	6	0	3	0
75	SPEECH	WORD	-1	-1	2	10	0	8
76	PAPER	BOOK	1	1	8	0	3	0
