Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	ANIMAL	BIRD	1	1	8	0	1	0
2	BARK	SKIN	-1	0	0	26	1	1
3	CLOUD	FOG	1	0	7	0	1	1
4	CLOUD	SMOKE (EXHAUST)	-1	-1	0	2	0	1
5	FLAME	TONGUE	-1	-1	0	24	0	1
6	FOG	SMOKE (EXHAUST)	-1	0	0	3	1	1
7	FOG	STEAM	-1	-1	0	2	0	1
8	FOREST	TREE	-1	0	0	6	1	1
9	GRASS	STRAW	1	0	10	0	1	1
10	LAKE	SWAMP	1	1	4	0	1	0
11	MILK	BREAST	-1	-1	0	30	0	1
12	NEST	HOUSE	-1	-1	0	14	0	1
13	SEED	TESTICLES	1	1	6	0	1	0
14	BELLY OR STOMACH	WOMB	1	1	6	0	1	0
15	BELLY OR STOMACH	HEART	-1	-1	0	2	0	1
16	CHEEK	MOUTH	-1	-1	0	3	0	1
17	HEART	KIDNEY	1	0	3	0	1	1
18	HEART	LUNG	1	0	3	0	1	1
19	JAW	TOOTH	-1	0	0	3	1	1
20	LIP	MOUTH	-1	-1	0	31	0	1
21	LIVER	LUNG	1	-1	9	0	0	1
22	DAWN	DAY (NOT NIGHT)	-1	-1	0	20	0	1
23	DAY (NOT NIGHT)	MIDDAY	-1	1	3	20	1	0
