Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	FOAM	LUNG	1	1	3	0	2	0
2	SPECTACLES	MIRROR	-1	-1	0	7	0	4
3	LIVER	LUNG	1	1	8	3	3	0
4	NOSE	NOSTRIL	1	1	2	0	4	0
5	TREE	MUSHROOM	1	1	4	0	2	0
6	SUN	DAY (NOT NIGHT)	-1	1	5	24	10	5
7	SUN	SUNDAY	1	1	4	0	3	0
8	MOON	MONTH	1	1	6	0	71	0
9	HUSBAND	MARRY	-1	-1	1	2	0	3
10	FATHER	PARENTS	1	1	6	0	3	0
11	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	3	0	2	0
12	FATHER	ANCESTORS	1	1	5	0	8	0
13	HEART	BRAVE	1	1	4	0	2	0
14	PREGNANT	HEAVY	-1	-1	0	3	0	6
15	PREGNANT	CARRY	-1	-1	0	2	0	3
16	SEIZE	UNDERSTAND	1	1	2	0	7	0
17	FEVER	HOT	-1	-1	0	2	0	3
18	COMMON COLD (DISEASE)	COLD	-1	-1	0	2	0	4
19	BRUISE	BLUE	-1	-1	0	2	0	3
20	POTATO	SWEET POTATO	-1	-1	0	4	0	2
21	HOUSE	WIFE	1	1	2	0	2	0
22	PLANT (VEGETATION)	GREEN	-1	-1	1	2	0	4
23	GOLD	MONEY	-1	1	0	3	3	0
24	SILVER	MONEY	-1	1	2	6	17	6
25	THROW	ACCUSE	1	1	2	0	2	0
26	JUMP	DANCE	1	1	3	0	4	0
27	ROAD	MANNER	1	1	2	0	4	0
28	MORNING	TOMORROW	1	1	5	2	4	0
29	HOUR	CLOCK	1	1	2	0	4	0
30	GOOD	BEAUTIFUL	1	-1	2	0	0	4
31	ANIMAL	BASTARD	1	1	2	0	2	0
32	ANIMAL	FOOL	1	1	2	0	5	0
33	BELLY	PREGNANT	1	1	2	0	3	0
34	SOUR	SOUR	0	0	2	2	6	6
35	BE ALIVE	FOOD	1	1	2	0	2	0
36	APPLE	POTATO	1	1	2	0	2	0
37	ASH	GREY	1	1	4	0	2	0
38	BAD OR EVIL	LOW	-1	-1	0	2	0	3
39	BOY	SERVANT	1	1	2	0	5	0
40	BREATHE	ANIMAL	1	1	2	0	2	0
41	BRIDE	DAUGHTER-IN-LAW	-1	1	1	2	2	0
42	CHAPTER	HEAD	-1	-1	0	2	0	2
43	CHILD	SMALL	-1	-1	0	6	0	11
44	COMPANION	SPOUSE	1	1	2	0	5	0
45	COURAGE	MALE PERSON	-1	-1	0	4	0	4
46	COURAGE	LIVER	-1	-1	0	2	0	4
47	FATHER	FATHER-IN-LAW	1	1	3	0	4	0
48	FIRE	ELECTRICITY	1	1	2	0	4	0
49	GENITALIA	SHAME	-1	-1	0	2	0	4
50	GIRL	PUPIL	1	1	2	0	2	0
51	GLASS	SPECTACLES	1	1	7	0	5	0
52	ARM OR HAND	HANDLE	1	1	2	0	2	0
53	HONEST	STRAIGHT	-1	-1	0	2	0	5
54	HUSBAND	MALE PERSON	1	-1	3	2	0	9
55	HUSBAND	OWNER	-1	-1	0	2	0	10
56	LEAD (CHEMICAL ELEMENT)	PENCIL	1	1	4	0	3	0
57	SMALL	LITTLE FINGER	1	1	7	0	2	0
58	LIVER	ANGER	1	1	2	0	2	0
59	MALE (OF ANIMAL)	MALE PERSON	-1	-1	0	2	0	5
60	MIDDLE	MIDDLE FINGER	1	1	10	0	4	0
61	MOON	MONDAY	1	1	4	0	5	0
62	MOON	MENSTRUATION	1	1	4	0	4	0
63	MOUSE	MUSCLE	1	1	2	0	4	0
64	MOUTH	RIVER MOUTH	1	1	2	0	3	0
65	NEXT	FOLLOW	-1	-1	0	2	0	2
66	NIGHT	DAY (24 HOURS)	1	1	2	0	2	0
67	PLANT (VEGETATION)	GUNPOWDER	1	1	2	0	2	0
68	STRONG	VERY	1	1	2	0	5	0
69	COUNT	INTEND	1	1	2	0	3	0
70	CARE FOR	SEE	-1	-1	0	6	0	6
71	CUT	DECIDE	1	1	3	0	6	0
72	DIE	FINISH	-1	-1	0	2	1	2
73	DIE	LEAVE	-1	-1	0	2	0	6
74	DOUBT (SOMETHING)	SWAY	-1	-1	0	2	0	2
75	OPPRESS	PRESS	-1	-1	0	2	0	3
76	REMEMBER	THINK	-1	-1	0	2	0	4
77	SEE	LOOK FOR	1	1	2	0	6	0
78	SEE	BECAUSE OF	1	1	2	0	2	0
