concept_number  unique_concepts
1  (molar)tooth
2  airplane
3  animal
4  ashes
5  bark
6  beak
7  bed
8  belly/stomach
9  bird
10  bone
11  branch
12  breast
13  bud
14  buttocks
15  car
16  cheek
17  clock
18  cloud
19  dawn
20  day
21  dust
22  egg
23  embers
24  estuary
25  flame
26  flood
27  flower/blossom
28  foam
29  fog
30  fog/mist
31  forest
32  glasses
33  grass
34  heart
35  honey
36  horn
37  house
38  jaw
39  kidney
40  lake
41  lip
42  liver
43  lungs
44  milk
45  Milky Way
46  mirror
47  moon
48  mouth
49  navel
50  nest
51  nipple
52  noon
53  river/stream
54  road/street/way
55  saliva/spittle
56  seed
57  shadow
58  skin
59  smoke
60  steam
61  straw/hay
62  sun
63  swamp
64  testicle
65  tongue
66  train
67  tree
68  wax
69  womb
